YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2022-12,WEEKDAY,12,TRAIN,EW17,17506,16936
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,TE22,588,2227
2022-12,WEEKDAY,11,TRAIN,TE22,753,2826
2022-12,WEEKDAY,17,TRAIN,DT21,6767,4051
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,DT21,2441,1773
2022-12,WEEKENDS/HOLIDAY,19,TRAIN,NE12,9684,11188
2022-12,WEEKDAY,19,TRAIN,NE12,22487,32664
2022-12,WEEKENDS/HOLIDAY,19,TRAIN,CC13,9743,12120
2022-12,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,9684,11188
2022-12,WEEKDAY,19,TRAIN,NE12/CC13,22487,32664
2022-12,WEEKDAY,19,TRAIN,CC13,20187,38734
2022-12,WEEKENDS/HOLIDAY,6,TRAIN,EW31,791,1680
2022-12,WEEKDAY,6,TRAIN,EW31,2016,8739
2022-12,WEEKDAY,15,TRAIN,EW7,7905,10286
2022-12,WEEKENDS/HOLIDAY,15,TRAIN,EW7,4675,5121
2022-12,WEEKDAY,0,TRAIN,NE17/PTC,397,2648
2022-12,WEEKDAY,0,TRAIN,PTC,397,2648
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NE17,3217,1899
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,3217,1899
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,PTC,3217,1899
2022-12,WEEKDAY,0,TRAIN,NE17,397,2648
2022-12,WEEKDAY,13,TRAIN,BP12,1863,1173
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,BP12,917,602
2022-12,WEEKENDS/HOLIDAY,14,TRAIN,NS17,4730,2626
2022-12,WEEKENDS/HOLIDAY,14,TRAIN,CC15,10494,11154
2022-12,WEEKDAY,14,TRAIN,CC15,21039,22244
2022-12,WEEKDAY,14,TRAIN,NS17,8654,5490
2022-12,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,4730,2626
2022-12,WEEKDAY,14,TRAIN,NS17/CC15,8654,5490
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,DT26,1491,1071
2022-12,WEEKDAY,16,TRAIN,DT26,2724,2600
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,4409,3592
2022-12,WEEKDAY,16,TRAIN,CC10,9302,6347
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,CC10,4409,3592
2022-12,WEEKDAY,16,TRAIN,CC10/DT26,9302,6347
2022-12,WEEKDAY,6,TRAIN,DT28,7118,5757
2022-12,WEEKENDS/HOLIDAY,6,TRAIN,DT28,2163,952
2022-12,WEEKDAY,5,TRAIN,DT7,132,49
2022-12,WEEKENDS/HOLIDAY,5,TRAIN,DT7,46,3
2022-12,WEEKDAY,11,TRAIN,PW5,1759,1109
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,PW5,1429,654
2022-12,WEEKDAY,18,TRAIN,BP3,3055,7310
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1340,1682
2022-12,WEEKDAY,22,TRAIN,CC28,940,2833
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,CC28,574,1436
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1218,920
2022-12,WEEKDAY,13,TRAIN,SW6,2568,1975
2022-12,WEEKDAY,17,TRAIN,NE12/CC13,24999,31538
